"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad"
"HOSPITAL SAN CRISTOBAL DE CIENAGA EMPRESA SOCIAL DEL ESTADO","800130625","Magdalena","Ciénaga","Territorial","Descentralizada","CO1.REQ.9860832","0170-2026","704356377","CO1.BDOS.9693168","ORDEN POR PRESTACION DE SERVICIOS","PRESTACION DE SERVICIOS DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA -ATENCION- ASISTENCIAL BASICA DE SEGUNDO NIVEL DEL HOSPITAL SAN CRISTOBAL DE CIENAGA EMPRESA SOCIAL DEL ESTADO","Presentación de oferta",,,,,,,,"$1,800,000","Contratación régimen especial","Decreto 092 de 2017","30","día(s)",,,,"Ciénaga","E.S.E. HOSPITAL SAN CRISTOBAL DE CIÉNAGA","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9707097","704,356,377"
"UNIVERSIDAD DE LOS LLANOS","892000757","Meta","Villavicencio","Nacional","Centralizada","CO1.REQ.745427","1846 DE 2016","700591092","CO1.BDOS.723861","ARRENDAMIENTO - INSTITUCION EDUCATIVA COLEGIO BUENOS AIRES","EL ARRENDADOR SE OBLIGA A ENTREGAR A TITULO DE ARRENDAMINETO AL ARRENDATARIO (INSTITUCION EDUCATIVA BUENOS AIRES) LOS LABORATORIOS DE FISICA Y QUIMICA PARA LAS PRACTICAS DE LOS ESTUDIANTES.",,,,,,,,,"$3,449,264","Contratación régimen especial","Regla aplicable","164","día(s)",,,,"Villavicencio","Area de licitaciones","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80131502","Abierto","Arrendamiento de muebles","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,591,092"
"GOBERNACION DE CALDAS","890801052","Caldas","No Definido","Territorial","Centralizada","CO1.REQ.2182503","SAMC-SP-036-2021","700613011","CO1.BDOS.2122556","Adquisición y configuración de elementos de hardware y software para la implementación de un sistema de respaldo de información de datos (Backup) en línea y despliegue en un sitio alterno Nube","Adquisición y configuración de elementos de hardware y software para la implementación de un sistema de respaldo de información de datos (Backup) en línea y despliegue en un sitio alterno Nube (IaaS - Cloud Computing) que permitan la recuperación y continuidad del negocio ante desastres para la Gobernación de Caldas, asi mismo dicha infraestructura a suministrar deberá de ser compatible con la infraestructura tecnológica actual de la entidad",,,,,,,,,"$162,572,493","Selección Abreviada de Menor Cuantía","Presupuesto menor al 10% de la Menor Cuantía","111","día(s)","08/19/2021","08/19/2021",,"Manizales","SECRETARIA DE PLANEACION (SP)","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.43233415","Cerrado","Suministros","No Definido","V143201800, V181112000, V183121603","https://community.secop.gov.co/STS/Users/Login/Index","700,613,011"
"(Secretaría Distrital de Integración Social)","8999990619","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.458208","224420","702271321","CO1.BDOS.443014","Prestación de servicios profesionales","PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA ATENCIÓN INTEGRAL EN LA RURALIDAD COMO MAESTRA(O) PROFESIONAL, EN EL MARCO DE LA INCLUSIÓN SOCIAL CON ENFOQUE DIFERENCIAL Y LOS LINEAMIENTOS ESTABLECIDOS POR LA SECRETARIA DISTRITAL DE INTEGRACIÓN SOCIAL.",,,,,,,,,"$15,575,000","Contratación directa","Servicios profesionales y apoyo a la gestión","5","Mes(es)",,,,"Bogotá","UNIDAD DE CONTRATACIÓN PROCESOS SUBDIRECCIÓN DE CONTRATACIÓN","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,271,321"
"MINCIENCIAS","899999296","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.10168347","120-2025 FFJC","700296015","CO1.BDOS.10000660","UNIVERSIDAD DE CARTAGENA","Aunar Esfuerzos Técnicos, Administrativos y financieros para facilitar, fomentar, desarrollar y ejecutar el proyecto denominado  MARCO INTEGRADO PARA LA ESTIMACIÓN DE DESEMPEÑO AGROECOLÓGICO EN ZONAS ESTRATÉGICAS DE PRODUCCIÓN ALIMENTARIA DE MARÍA LA BAJA, BOLÍVAR, CONSIDERANDO EFECTOS DE CAMBIO CLIMÁTICO Y DINÁMICA ANTROPOGÉNICA",,,,,,,,,"$294,846,569","Contratación régimen especial","Regla aplicable","18","Mes(es)",,,,"Bogotá","DIRECCIÓN DE GESTIÓN DE RECURSOS PARA LA CTEI","0","0","0","0","0","0","0","0","0","En aprobación","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.86101600","Abierto","Otro","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,296,015"
"EMPRESA SOCIAL DEL ESTADO HOSPITAL PROFESOR JORGE CAVELIER","832002436","Cundinamarca","No Definido","Territorial","Centralizada","CO1.REQ.9982728","181-2026","700622087","CO1.BDOS.9813766","SIGMA CONTROL DE CALIDAD SAS","SUMINISTRO DE CONTROLES DE CALIDAD EXTERNO PARA LOS ANALITOS PROCESADOS EN LOS LABORATORIOS CLINICOS DE LA ESE HOSPITAL PROFESOR JORGE CAVELIER",,,,,,,,,"$20,117,412","Contratación régimen especial","Regla aplicable","270","día(s)",,,,"Cajicá","E.S.E HOSPITAL PROFESOR JORGE CAVELIER","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,622,087"
"(Secretaría Distrital de Integración Social)","8999990619","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.1950133","273490","702271321","CO1.BDOS.1897823","PRESTACION DE SERVICIOS DE APOYO A LA GESTION","PRESTACION DE LOS SERVICIOS PARA REALIZAR ACCIONES ENCAMINADAS A DESARROLLAR PROCESOS DE PREVENCION Y ATENCION INTEGRAL A LA POBLACION HABITANTE DE CALLE Y EN RIESGO DE ESTARLO EN EL MARCO DEL PROYECTO DE INVERSION   IMPLEMENTACION DE ESTRATEGIAS Y SERVICIOS INTEGRALES PARA EL ABORDAJE DEL FENOMENO DE HABITABILIDAD EN CALLE EN BOGOTA .",,,,,,,,,"$23,058,000","Contratación directa","Servicios profesionales y apoyo a la gestión","270","día(s)",,,,"Bogotá","SUBDIRECCION DE CONTRATACION","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,271,321"
"DEPARTAMENTO DE SANTANDER","890201235","Santander","Bucaramanga","Territorial","Centralizada","CO1.REQ.149212","GR-CD-17-664","701515082","CO1.BDOS.145807","PRESTACION DE SERVICIOS DE APOYO PROFESIONAL","PRESTAR SERVICIOS DE APOYO PROFESIONAL A LA GESTIÓN ADMINISTRATIVA EN LA SECRETARIA DE SALUD.DENTRO DE MARCO DEL PROYECTO DE FORTALECIMIENTO INSTITUCIONAL A TRAVÉS DE SERVICIOS DE ASESORÍA PROFESIONAL, DE APOYO A LA GESTIÓN Y ASISTENCIA TÉCNICA PARA EL DEPARTAMENTO DE SANTANDER.",,,,,,,,,"$16,000,000","Contratación Directa (con ofertas)","Ejecución de trabajos artísticos","4","Mes(es)","04/12/2017",,,"Bucaramanga","SECRETARIA ADMINISTRATIVA","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","701,515,082"
"INSTITUCION EDUCATIVA SERGIO CAMARGO","891800930","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.4617718","04-2023","700887094","CO1.BDOS.4514820","SUMINISTRO DE MATERIALES DE CONSTRUCCION","CONTRATAR EL SUMINISTRO DE MATERIALES VARIOS PARA DIFERENTES MANTENIMIENTOS LOCATIVOS DE LA IE",,,,,,,,,"$2,987,000","Contratación régimen especial","Decreto 092 de 2017","8","día(s)",,,,"No Aplica","RECTORIA","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.30162300","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,887,094"
"DEPARTAMENTO NACIONAL DE PLANEACIÓN","899999011","Distrito Capital de Bogotá","Bogotá","Nacional","Centralizada","CO1.REQ.7891323","DNP-CDPS-966-2025 copia","700220049","CO1.BDOS.7753862","DNP-CDPS-966-2025 copia","130410525- Prestar Servicios profesionales a la Subdirección Administrativa y Relacionamiento con la Ciudadanía, por sus propios medios, con plena autonomía técnica y administrativa para adelantar las actividades requeridas para la implementación y mejora continua del componente de gestión ambiental.",,,,,,,,,"$46,252,800","Contratación directa","Servicios profesionales y apoyo a la gestión","300","día(s)",,,,"No Aplica","SUBDIRECCIÓN DE CONTRATACIÓN","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,220,049"
